concurso;data;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15
2254;12/06/2021;2;3;5;6;7;8;10;12;13;14;19;20;21;24;25
2252;10/06/2021;1;5;6;8;9;10;12;16;17;19;20;21;22;24;25
2251;09/06/2021;2;4;5;7;9;12;13;14;15;18;19;21;22;23;24
2250;08/06/2021;4;5;6;10;12;13;14;18;19;20;21;22;23;24;25
2249;07/06/2021;2;6;11;12;14;15;16;17;18;19;21;22;23;24;25
2248;05/06/2021;1;2;4;6;7;8;10;11;12;13;14;16;17;23;25
2247;04/06/2021;1;3;6;7;8;9;10;12;17;18;19;20;22;24;25
2246;02/06/2021;2;3;4;5;7;8;10;11;12;13;14;15;18;20;25
2245;01/06/2021;2;5;6;7;8;13;14;16;17;18;21;22;23;24;25
2244;31/05/2021;4;5;6;8;9;10;11;13;14;15;16;17;21;23;25
2243;29/05/2021;1;5;6;8;10;11;14;15;17;18;19;20;21;24;25
2242;28/05/2021;3;4;5;8;9;10;11;12;16;17;19;20;21;22;25
2241;27/05/2021;1;3;7;8;9;10;13;15;16;18;20;21;23;24;25
2240;26/05/2021;2;3;4;6;7;9;11;12;13;15;17;18;19;20;25
2239;25/05/2021;1;2;5;6;7;10;13;14;15;16;17;20;22;23;24
2238;24/05/2021;1;3;4;5;6;7;10;11;14;15;16;18;19;20;25
2237;22/05/2021;3;5;6;9;12;13;14;15;17;19;20;21;22;23;25
2236;21/05/2021;2;3;4;5;8;9;10;11;12;17;18;19;21;22;24
2235;20/05/2021;2;4;6;7;8;10;11;12;16;17;19;21;22;23;25
2234;19/05/2021;1;2;3;6;7;11;14;15;17;18;20;21;22;24;25
2233;18/05/2021;1;2;6;7;8;9;10;12;13;14;15;16;20;21;25
2232;17/05/2021;2;4;5;6;8;9;12;13;14;19;20;22;23;24;25
2231;15/05/2021;1;4;5;6;7;8;10;11;16;18;19;20;22;24;25
2230;14/05/2021;3;4;6;8;9;10;11;13;14;15;17;18;19;20;24
2229;13/05/2021;1;2;3;4;7;8;9;10;14;17;19;20;23;24;25
2228;12/05/2021;1;4;5;6;7;11;12;13;16;17;18;19;20;22;23
2227;11/05/2021;2;3;7;8;9;10;11;12;15;17;20;21;22;23;24
2226;10/05/2021;1;3;4;5;9;10;12;13;14;15;16;17;19;21;22
2225;08/05/2021;2;3;4;7;8;9;10;11;13;17;19;21;22;23;25
2224;07/05/2021;3;5;6;7;9;10;12;13;14;15;18;19;20;23;24
2223;06/05/2021;1;4;5;7;8;9;11;12;14;18;20;21;22;24;25
2222;05/05/2021;2;4;5;6;7;8;9;10;12;13;14;19;22;23;24
2221;04/05/2021;1;2;3;4;5;8;9;10;12;13;16;18;20;22;23
2220;03/05/2021;1;5;6;7;8;9;10;12;13;16;18;20;23;24;25
2219;30/04/2021;2;5;6;7;8;10;13;15;16;17;19;20;22;24;25
2218;29/04/2021;3;4;5;6;11;12;13;15;16;17;18;20;21;23;24
2217;28/04/2021;1;6;7;9;10;11;14;15;16;18;19;20;22;23;25
